Month,Channel,Visits,BounceRate,ConversionRate
9/1/2023,instagram,32498,0.58,3.79
9/1/2023,email,46467,47.1,1.27
9/1/2023,direct,23977,43.8,0.0421
9/1/2023,Organic,25873,0.38,1.59
10/1/2023,google ads,26702,62.4,0.0208
10/1/2023,Facebook,59150,51.6,0.0191
10/1/2023,instagram,45322,62.8,0.0329
10/1/2023,email,55929,0.41,0.014
10/1/2023,Direct,24480,0.58,0.0185
10/1/2023,organic,49013,56.9,2.61
11/1/2023,GoogleAds,46400,0.38,0.0124
11/1/2023,facebook,9529,38.9,0.0207
11/1/2023,Instagram,7224,50.9,2.28
11/1/2023,Direct,54926,47.8,4.76
11/1/2023,organic,40280,0.63,1.29
12/1/2023,Google Ads,35128,47,0.0135
12/1/2023,Meta Ads,17480,43.3,0.0451
12/1/2023,instagram,35071,0.61,0.0435
12/1/2023,Email,4218,56.3,1.66
12/1/2023,direct,14234,0.5,3.82
12/1/2023,SEO,57579,44.2,3.71
1/1/2024,Google Ads,26516,0.55,0.0167
1/1/2024,Facebook,49287,0.64,2.52
1/1/2024,Instagram,75610,0.63,0.0105
1/1/2024,email,43562,0.37,2.77
1/1/2024,Direct,84999,64.5,1.13
1/1/2024,SEO,35941,0.57,0.93
2/1/2024,GoogleAds,16572,42.6,2.3
2/1/2024,Facebook,47609,44,0.0306
2/1/2024,Instagram,55542,55.9,2.76
2/1/2024,email,31342,39,4.31
2/1/2024,Direct,36029,0.39,0.0217
2/1/2024,SEO,48307,0.6,2.84
3/1/2024,google ads,68377,0.39,0.98
3/1/2024,Meta Ads,46478,0.37,0.025
3/1/2024,instagram,68963,38.7,4.83
3/1/2024,email,61064,61.8,0.0364
3/1/2024,direct,20725,51.5,3.31
3/1/2024,Organic,45651,0.54,1.8
4/1/2024,GoogleAds,1536,50.4,0.0162
4/1/2024,Meta Ads,33133,60.2,0.0487
4/1/2024,instagram,53799,0.53,0.0177
4/1/2024,Direct,70748,41.9,0.0416
4/1/2024,organic,8697,0.46,0.0381
5/1/2024,google ads,55129,63.7,2.01
5/1/2024,meta ads,36542,36.8,0.0277
5/1/2024,Instagram,73320,0.36,3.6
5/1/2024,Email,16805,62.7,1.9
5/1/2024,Direct,70388,0.44,3.43
5/1/2024,Organic,19659,60.3,0.035
6/1/2024,Google Ads,33725,0.53,1.45
6/1/2024,Facebook,26157,47.7,0.0407
6/1/2024,instagram,50238,0.62,0.0434
6/1/2024,email,25374,42.2,3.85
6/1/2024,direct,53195,52.5,3.65
6/1/2024,Organic,26248,41.3,2.76
7/1/2024,GoogleAds,55618,0.53,1.39
7/1/2024,meta ads,83416,52.2,4.96
7/1/2024,Instagram,31518,0.63,0.0243
7/1/2024,email,53892,0.4,0.0232
7/1/2024,Direct,8557,0.38,3.85
7/1/2024,Organic,130300,0.37,3.86
8/1/2024,Google Ads,54715,55.3,0.0118
8/1/2024,Facebook,64007,0.48,3.1
8/1/2024,Instagram,25879,0.63,2.73
8/1/2024,email,59800,0.45,0.0181
8/1/2024,Direct,79362,54.2,0.86
8/1/2024,Organic,36260,0.41,0.0509
9/1/2024,google ads,69421,0.51,0.0437
9/1/2024,facebook,22057,54.2,4.59
9/1/2024,Instagram,42806,0.43,0.0172
9/1/2024,email,71735,57.8,0.0364
9/1/2024,direct,47330,0.4,3.34
10/1/2024,Google Ads,56787,0.65,2.61
10/1/2024,meta ads,61798,0.5,0.0246
10/1/2024,instagram,72219,0.53,0.0239
10/1/2024,Email,32115,0.57,0.0453
10/1/2024,Direct,36739,38.6,4.91
10/1/2024,Organic,47144,37.1,0.0453
11/1/2024,Google Ads,35511,53.2,0.0393
11/1/2024,Meta Ads,32660,48.3,2.77
11/1/2024,Instagram,60823,0.6,0.0161
11/1/2024,Email,41040,50.8,0.0222
11/1/2024,direct,53842,53.3,2.05
11/1/2024,organic,21855,58,0.92
12/1/2024,GoogleAds,20248,0.63,0.0167
12/1/2024,Facebook,65634,0.5,0.8
12/1/2024,Instagram,60172,41.3,0.0219
12/1/2024,email,56040,63.6,0.93
12/1/2024,Direct,24755,0.61,4.36
12/1/2024,Organic,68546,47,5.08
